ARO	Shorten Name	Gene Name	Antibiotics	Resistance Mechanism	AMR gene Family	Description	Species	UC-1-1	UC-1-2	UC-2-1	UC-2-2	RT-1-1	RT-1-2	RT-2-1	RT-2-2	RT-3-1	RT-3-2	RT-4-1	RT-4-2	RT-5-1	RT-5-2	UC-3-1	UC-3-2	UC-4-1	UC-4-2	UC-5-1	UC-5-2	UC-6-1	UC-6-2	UC-7-1	UC-7-2	UC-8-1	UC-8-2	RT-6-1	RT-6-2	RT-7-1	RT-7-2	UC-9-1	UC-9-2	RT-8-1	RT-8-2	UC-10-1	UC-10-2	UC-11-1	UC-11-2	UC-12-1	UC-12-2	UC-13-1	UC-13-2	RT-9-1	RT-9-2	RT-10-1	RT-10-2	RT-11-1	RT-11-2	UC-14-1	UC-14-2	UC-15-1	UC-15-2	UC-16-1	UC-16-2	RT-12-1	RT-12-2	UC-17-1	UC-17-2	UC-18-1	UC-18-2	UC-19-1	UC-19-2	RT-13-1	RT-13-2	UC-20-1	UC-20-2	RT-14-1	RT-14-2	RT-15-1	RT-15-2	RT-16-1	RT-16-2	RT-17-1	RT-17-2	RT-18-1	RT-18-2	UC-21-1	UC-21-2	RT-19-1	RT-19-2	UC-22-1	UC-22-2	RT-20-1	RT-20-2	RT-21-1	RT-21-2	UC-23-1	UC-23-2	RT-22-1	RT-22-2	RT-23-1	RT-23-2	UC-24-1	UC-24-2	RT-24-1	RT-24-2	RT-25-1	RT-25-2	RT-26-1	RT-26-2	RT-27-1	RT-27-2	RT-28-1	RT-28-2	RT-29-1	RT-29-2	UC-25-1	UC-25-2	UC-26-1	UC-26-2	UC-27-1	UC-27-2	UC-28-1	UC-28-2	UC-29-1	UC-29-2	RT-30-1	RT-30-2	RT-31-1	RT-31-2	UC-30-1	UC-30-2	UC-31-1	UC-31-2	UC-32-1	UC-32-2	UC-33-1	UC-33-2	UC-34-1	UC-34-2	RT-32-1	RT-32-2	RT-33-1	RT-33-2	RT-34-1	RT-34-2
3001329	mdtG	mdtG	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	"The MdtG protein, also named YceE, appears to be a member of the major facilitator superfamily of transporters, and it has been reported, when overexpressed, to increase fosfomycin and deoxycholate resistances. mdtG is a member of the marA-soxS-rob regulon."	Escherichia coli O139:H28 str. E24377A	4914	3984	1436	1578	489	4427	3957	739	3643	3013	4242	3235	4958	850	0	0	2663	1915	4042	4440	1868	3095	4449	368	4695	622	5674	3263	1781	1656	156	21	4174	408	2929	1012	4433	4559	127	267	3360	1378	0	2804	3137	2075	2950	4414	3333	4481	4240	4644	4381	3608	3581	2251	4877	5397	1980	499	3738	4093	3689	140	230	885	3408	3546	3700	3586	2407	3739	4148	200	3711	830	1573	4527	5024	449	3116	6092	2282	1722	275	3116	0	218	0	932	0	562	5080	1484	5241	6329	4453	1467	5278	2082	4431	438	4569	5462	1350	1374	5280	1005	4216	5592	2804	2105	5171	578	5686	957	3292	24	4765	1709	4115	150	3450	1860	2848	2042	214	2007	0	398	3997	2564	1951	652	2944	1390
3000206	emrK	emrK	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	"emrK is a membrane fusion protein that is a homolog of EmrA. Together with the inner membrane transporter EmrY and the outer membrane channel TolC, it mediates multidrug efflux."	Escherichia coli	4913	4023	1711	2134	539	5381	4811	948	3558	3042	5686	3665	6735	1052	0	0	4828	2270	4543	4950	1797	3380	5331	323	6170	991	6727	5216	2874	2180	171	20	5711	384	3789	1229	5650	6107	211	387	4436	1000	0	3723	3687	2383	4291	5588	4026	4840	5114	5548	5571	3850	4533	1952	6085	5400	2883	584	4422	5666	3145	167	402	1206	4106	3893	3566	4439	2160	3307	4179	164	3239	541	1080	5075	4983	408	2360	5328	3282	1809	303	3269	0	277	0	1199	0	590	5732	1730	4434	5394	6691	1875	4401	1188	4925	503	5808	5662	1839	1883	4788	1264	4464	5976	2464	2718	6290	627	6542	1218	4110	37	4689	1265	6967	166	2915	1887	3571	2706	427	1805	0	534	3842	2885	2826	838	2637	1840
3000498	ErmF	ErmF	streptogramin A antibiotic; macrolide antibiotic; lincosamide antibiotic; streptogramin B antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	ErmF confers the MLSb phenotype.	Bacteroides fragilis	0	974	318	1676	0	87	0	5978	78	1666	0	113	0	64804	26	0	0	10264	0	0	2156	665	0	0	260	238	0	0	0	314	1100	5502	237	282	0	0	0	15	0	855	80	123	672	109	5099	256	0	0	4481	507	0	2980	0	0	0	129	0	0	53	481	0	10	0	0	21	2058	13439	1215	0	0	0	0	0	299	0	3378	0	0	42	1375	1598	268	0	3445	21365	8999	0	11916	0	0	0	0	0	0	0	2016	0	608	0	0	796	34046	0	0	24820	514	0	0	0	0	30	556	0	0	62	4417	0	1309	0	296	0	2666	149	7617	461	29234	0	0	0	422	0	0	1115	19113	429	0
3000781	adeJ	adeJ	rifamycin antibiotic; penem; macrolide antibiotic; carbapenem; cephalosporin; diaminopyrimidine antibiotic; tetracycline antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	AdeJ is a RND efflux protein that acts as the inner membrane transporter of the AdeIJK efflux complex. It has 57% identity with E. coli AcrB.	Acinetobacter baumannii	0	0	0	0	0	111	1779	0	0	0	0	0	0	0	272	0	0	0	0	0	505	0	77	0	0	0	0	0	473	217	0	0	68	0	0	0	0	0	0	115	1764	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	113	0	81	0	2380	0	4890	0	0	0	3646	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	677	62	152	0	255	875	0	51	0	0	0	0	0	0	0	0	95	0	0	0	0	0	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	110	0	0	0	0	0	0	0	0	0
3003576	eptA	eptA	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	"PmrC mediates the modification of Lipid A by the addition of 4-amino-4-deoxy-L-arabinose (L-Ara4N) and phosphoethanolamine, resulting in a less negative cell membrane and decreased binding of polymyxin B."	Escherichia coli str. K-12 substr. W3110	8921	7947	2904	3733	1510	6953	9648	1694	7027	5775	5414	7238	12607	1766	0	0	9651	4428	8994	9814	4177	4474	5103	543	10444	1621	8355	8205	6340	3401	317	41	9587	815	7067	1919	10401	9413	343	691	6599	2789	0	6390	6809	4563	6781	10080	5117	8293	10278	9298	8854	6228	8168	3913	11066	10041	4009	780	7009	10082	5059	348	353	1457	6419	3821	10491	7484	2891	6826	7862	392	7794	1579	1841	8237	9716	993	4666	10307	5821	3942	831	7438	0	418	0	2021	0	1019	10093	3007	9136	10349	10187	3303	9059	3732	9420	921	11144	10083	2867	2709	10703	2522	9655	10007	7513	4432	12430	1269	10921	2770	2791	90	7998	2909	9710	291	6866	2823	6739	3669	890	3674	0	779	8198	4713	4576	1462	8260	3501
3000656	AcrS	AcrS	penam; disinfecting agents and antiseptics; tetracycline antibiotic; cephalosporin; cephamycin; glycylcycline; fluoroquinolone antibiotic; rifamycin antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	AcrS is a repressor of the AcrAB efflux complex and is associated with the expression of AcrEF. AcrS is believed to regulate a switch between AcrAB and AcrEF efflux.	Escherichia coli str. K-12 substr. MG1655	3718	3214	1394	1702	513	3772	4131	916	2869	2356	4150	2629	5193	799	0	0	4212	1904	3747	4186	1640	3241	3586	250	4508	756	7117	3938	2935	1570	186	29	4476	294	3260	928	4713	4165	135	289	3574	834	0	3016	3136	1895	3199	4636	2941	3570	4656	4035	4014	2803	4435	523	4273	103	2312	430	3204	4766	3028	161	373	937	2894	2874	4369	3476	1851	2969	3526	194	2677	508	1005	3194	975	407	1758	3850	2864	1386	362	2916	0	182	0	935	0	422	3654	1456	3023	4283	5121	1380	3453	1353	4029	485	4454	4491	1437	1265	4661	997	4159	4087	3608	1962	2944	555	4851	1333	4025	30	3556	1043	5026	153	2463	1281	2997	2008	434	1627	0	382	3251	2524	2003	705	2694	1560
3000205	tetX	tetX	tetracycline antibiotic; glycylcycline	antibiotic inactivation	tetracycline inactivation enzyme	TetX is a flavin-dependent monooxygenase conferring resistance to tetracycline antibiotics. TetX hydroxylates position 11a of the tetraketide group thus inactivating the antibiotic.	Bacteroides fragilis	0	0	254	1660	0	152	0	6379	84	2420	0	0	0	6239	0	0	0	12264	0	0	0	0	0	0	241	291	0	0	0	443	166	5183	189	272	0	0	0	0	0	58	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	534	0	16	0	0	0	74	0	0	0	0	0	0	0	280	0	4467	0	0	0	480	2490	101	0	3921	14703	12922	0	15008	0	0	0	0	0	0	0	2340	0	753	0	0	485	18843	0	0	22471	513	0	0	0	0	0	431	0	0	79	5511	0	839	0	468	0	2784	185	9081	0	0	0	0	0	331	0	0	1106	13183	0	0
3000518	CRP	CRP	penam; macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	Escherichia coli str. K-12 substr. W3110	2158	1759	1255	772	341	1794	1893	419	1798	1364	2071	1556	2565	345	233	0	1959	1106	1718	1925	898	1688	1976	553	1898	283	2541	1635	919	1527	102	18	1689	164	1363	482	1935	1833	81	402	1649	1351	258	1334	1431	916	1716	1992	1454	1801	1822	1863	1593	1316	1504	809	2198	2024	1330	231	1404	1944	1889	71	137	414	1301	1431	1668	1431	1199	2049	2239	106	1932	412	2539	1951	2269	180	1922	2271	1191	848	218	1580	0	89	127	875	0	263	1998	1112	1802	2306	1965	665	2291	1052	1821	198	1836	2258	550	799	2387	860	1721	2010	1392	1051	2304	304	2405	594	1651	16	1960	785	1750	70	1540	869	1383	946	206	953	734	1152	1880	971	808	367	1424	662
3000412	sul2	sul2	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	"Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria, usually found on small plasmids."	Vibrio cholerae	3995	6141	1295	215	561	2962	2782	689	2644	3149	2277	1446	148	0	0	0	2010	2684	3174	454	1715	121	2287	2569	1915	140	121	2345	249	574	83	924	1984	0	27	1137	1544	912	16	1088	2695	2137	0	2645	1272	860	4608	1014	462	2911	1762	3272	3767	2445	2087	466	1431	164	1701	982	556	1025	1843	37	116	2266	0	1098	3812	3364	1195	3203	4667	235	4586	1657	1434	25	3354	166	9384	10	655	13244	255	513	32	148	2861	633	53	106	554	876	3674	23	2916	926	4627	2336	4367	333	2626	4394	1484	1002	1443	485	0	1618	840	3344	0	547	1319	397	889	130	4090	7601	3551	214	4787	3660	1022	1549	0	707	7876	244	2750	1488	1927	254	588	1064
3000567	tet(40)	tet(40)	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	Tet40 is a tetracycline efflux pump found in the Gram-positive Clostridium. It is similar to tetA(P).	uncultured bacterium	0	532	189	25609	0	115	0	28338	597	10577	0	0	0	29561	0	52	0	7564	0	2948	0	10219	0	53	797	16784	0	3822	0	526	5539	4012	0	18258	0	0	0	0	0	219	0	0	0	664	409	164	0	131	7714	2954	0	2811	0	0	0	23105	0	1029	0	7487	0	140	0	0	0	2366	5825	1730	215	10798	0	1998	0	19711	0	17443	0	0	108	1350	0	0	0	3307	4047	2964	96	14724	0	0	0	0	0	24370	0	1387	0	0	0	2866	594	13496	25	0	243	15415	0	8018	0	0	900	20280	0	3206	145	6066	0	20877	973	13383	479	31180	8518	6964	0	8254	0	0	0	8504	0	4859	223	3062	564	7046
3000832	evgA	evgA	penam; macrolide antibiotic; tetracycline antibiotic; fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	"EvgA, when phosphorylated, is a positive regulator for efflux protein complexes emrKY and mdtEF. While usually phosphorylated in a EvgS dependent manner, it can be phosphorylated in the absence of EvgS when overexpressed.; EvgA, when phosphorylated, is a positive regulator for efflux protein complexes emrKY and mdtEF. While usually phosphorylated in a EvgS dependent manner, it can be phosphorylated in the absence of EvgS when overexpressed."	Escherichia coli O157:H7 str. Sakai	2910	2560	1132	1298	410	3256	2920	739	2152	1924	3922	2659	3480	651	0	0	3405	1513	2863	2859	1126	2266	3101	167	3821	595	4669	3084	2434	1397	137	11	3563	279	2754	916	3723	3813	104	283	2944	667	0	2491	2433	1550	2386	6929	2501	2952	3361	3331	3362	2098	3563	1128	4702	3883	1977	431	2973	6772	2207	106	551	651	2494	2404	2384	2830	1332	2003	2811	125	2159	321	576	3029	3000	257	1381	3176	2239	1438	221	2073	0	155	0	863	0	404	3567	1299	2862	3179	3956	1207	2658	671	2993	304	3389	3669	1254	1091	101	1004	3783	3771	1790	1623	3483	585	3795	705	2858	14	2749	828	4250	109	1799	1287	2396	1750	295	1102	0	370	2149	1920	1777	495	1665	1262
3001059	SHV-1	SHV-1	penam; carbapenem; cephalosporin	antibiotic inactivation	SHV beta-lactamase	"SHV-1 is a broad-spectrum beta-lactamase found in Klebsiella spp., as well as Acinetobacter spp., E. coli., Raoultella terrigena, and Yersinia pestis."	Klebsiella pneumoniae	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0
3000410	sul1	sul1	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.	Vibrio fluvialis	0	507	582	30	0	2799	2171	171	3947	96	1234	53	0	0	549	712	373	36	4487	1418	1215	254	1760	1546	602	65	81	43	237	2008	26	11	0	342	2345	1252	498	2249	0	53	229	2488	22416	660	0	33	1071	280	121	98	230	114	3473	492	807	431	2330	0	59	75	157	272	1721	0	0	0	0	1975	557	797	221	1684	1497	0	0	41	1502	2441	453	0	126	0	1102	587	168	29	0	0	0	111	0	18	848	390	2809	0	100	514	0	516	25	0	0	20	664	1605	7418	4090	12409	909	0	132	3752	133	0	463	0	0	1513	1023	34	0	471	113	483	824	0	275	0	40	4279	1323	37	21	162	613
3000216	acrB	acrB	penam; disinfecting agents and antiseptics; tetracycline antibiotic; cephalosporin; glycylcycline; fluoroquinolone antibiotic; rifamycin antibiotic; phenicol antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	Escherichia coli str. K-12 substr. MG1655	2804	1791	1596	489	139	903	930	189	1319	955	1539	732	1152	207	3990	524	935	1069	819	1201	515	1441	938	1433	1086	207	1188	794	485	1897	0	0	1292	124	679	876	1329	1054	56	3778	1106	3019	632	1013	827	594	1591	1349	821	1279	1071	1170	847	1052	1168	543	1158	776	1772	185	1084	1333	993	80	94	237	853	894	1237	998	899	2600	1947	58	2391	235	3667	3343	1203	99	2582	3121	701	430	76	926	0	83	2426	1919	0	209	1294	1112	976	1678	882	470	2042	651	949	94	946	1020	404	1010	1561	1873	967	1240	1176	1522	1163	202	1335	252	867	0	1640	460	814	0	1727	588	899	1666	299	549	1906	2764	1960	503	490	390	967	350
